                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 0.8325,                0.60286,                0.99496,                0.76335,                0.77419,                0.76155,                0.48761,                 1.2626,                0.90469,                  1.071,              0.0014951,              0.0014951,              0.0014951
                     53,                0.84058,                0.62696,                 1.0275,                0.80894,                0.79032,                0.85281,                0.56086,                 1.1935,                 0.8569,                 1.0662,              0.0014852,              0.0014852,              0.0014852
                     54,                0.78218,                0.59812,                 1.0042,                0.82486,                0.83566,                0.83184,                0.50313,                 1.2629,                0.88099,                 1.0625,              0.0014753,              0.0014753,              0.0014753
                     55,                0.82899,                0.62039,                  1.002,                0.90433,                0.82258,                0.87628,                 0.5238,                 1.2904,                0.87745,                 1.0502,              0.0014654,              0.0014654,              0.0014654
                     56,                0.80768,                0.58423,                0.98677,                0.83483,                0.81528,                0.85903,                 0.5807,                 1.1194,                0.83733,                 1.0025,              0.0014555,              0.0014555,              0.0014555
                     57,                0.79352,                0.58292,                0.99687,                0.87583,                0.75806,                0.82417,                  0.541,                 1.2399,                0.87751,                 1.0795,              0.0014456,              0.0014456,              0.0014456
                     58,                0.82371,                0.60409,                 1.0293,                0.81496,                0.79032,                 0.8196,                0.53414,                 1.2066,                0.98791,                 1.0706,              0.0014357,              0.0014357,              0.0014357
                     59,                0.81449,                  0.599,                0.99789,                0.85595,                0.79032,                0.83622,                0.53895,                 1.2535,                0.90315,                 1.0595,              0.0014258,              0.0014258,              0.0014258
                     60,                0.84028,                0.58535,                 1.0084,                0.89806,                0.85484,                 0.8835,                0.57632,                 1.1766,                0.83942,                  1.021,              0.0014159,              0.0014159,              0.0014159
                     61,                0.84544,                 0.5997,                 1.0203,                 0.8943,                0.81881,                0.87544,                0.58516,                 1.1803,                0.80522,                 1.0243,               0.001406,               0.001406,               0.001406
                     62,                0.82174,                0.60172,                 1.0224,                 0.8792,                0.75806,                0.87034,                0.53312,                 1.2472,                0.85062,                 1.0327,              0.0013961,              0.0013961,              0.0013961
                     63,                0.79763,                 0.5753,                0.99045,                0.87611,                0.79848,                0.87831,                0.56888,                 1.2213,                0.80923,                 1.0506,              0.0013862,              0.0013862,              0.0013862
                     64,                0.79838,                0.57092,                0.98027,                0.85712,                0.82258,                0.90228,                0.54056,                 1.3056,                0.90175,                 1.0697,              0.0013763,              0.0013763,              0.0013763
                     65,                0.82487,                0.58702,                 1.0143,                0.81222,                0.83717,                0.85498,                0.53246,                 1.2276,                0.82809,                 1.0614,              0.0013664,              0.0013664,              0.0013664
                     66,                 0.7895,                0.54566,                 1.0017,                0.90428,                0.82258,                0.87314,                0.54191,                 1.1855,                0.84544,                 1.0573,              0.0013565,              0.0013565,              0.0013565
                     67,                0.80769,                  0.565,                 1.0026,                0.80231,                0.83871,                0.86733,                0.56089,                 1.1764,                0.92102,                 1.0183,              0.0013466,              0.0013466,              0.0013466
                     68,                0.75707,                0.55066,                 0.9773,                0.83422,                0.89286,                0.90036,                 0.5663,                 1.1662,                0.83258,                 1.0205,              0.0013367,              0.0013367,              0.0013367
                     69,                0.78188,                0.57217,                0.98415,                0.85074,                0.82743,                 0.8697,                0.57168,                 1.1222,                0.78615,                 1.0048,              0.0013268,              0.0013268,              0.0013268
                     70,                0.81196,                0.58098,                 1.0035,                0.89946,                0.80645,                0.88996,                0.59998,                 1.1433,                0.75632,                 1.0252,              0.0013169,              0.0013169,              0.0013169
                     71,                0.79111,                0.57658,                0.96327,                 0.8585,                0.88076,                0.91719,                0.60312,                 1.2039,                0.84327,                 1.0493,               0.001307,               0.001307,               0.001307
                     72,                0.78666,                0.56114,                0.97913,                0.81314,                0.84228,                0.87076,                0.58442,                 1.1472,                 0.7992,                 1.0201,              0.0012971,              0.0012971,              0.0012971
                     73,                0.76373,                0.55658,                0.96922,                0.85785,                0.82258,                0.85983,                0.58935,                 1.1964,                0.74682,                 1.0756,              0.0012872,              0.0012872,              0.0012872
                     74,                0.73479,                 0.5424,                0.96087,                0.82709,                0.84873,                0.87045,                0.55755,                 1.2378,                0.79073,                 1.0967,              0.0012773,              0.0012773,              0.0012773
                     75,                0.69885,                0.51286,                 0.9567,                0.79943,                0.80645,                0.83444,                0.56308,                 1.1475,                0.76858,                 1.0659,              0.0012674,              0.0012674,              0.0012674
                     76,                 0.7388,                0.52312,                0.95887,                0.77466,                0.80645,                0.82408,                0.53469,                 1.2371,                0.87666,                 1.0794,              0.0012575,              0.0012575,              0.0012575
                     77,                0.74182,                0.53656,                0.96069,                0.82592,                0.84182,                0.85666,                0.56842,                 1.1879,                0.86118,                  1.026,              0.0012476,              0.0012476,              0.0012476
                     78,                0.73144,                0.52656,                0.97409,                0.77255,                0.87658,                0.87725,                0.60099,                 1.1424,                0.83985,                 1.0265,              0.0012377,              0.0012377,              0.0012377
                     79,                0.73446,                0.54315,                0.95587,                0.80983,                0.82425,                0.89243,                0.56133,                 1.2097,                0.79528,                 1.0815,              0.0012278,              0.0012278,              0.0012278
                     80,                0.73064,                0.54828,                0.94534,                0.82532,                0.85484,                0.86383,                0.58222,                 1.2233,                0.79683,                 1.1043,              0.0012179,              0.0012179,              0.0012179
                     81,                0.70532,                0.53401,                0.96378,                0.81883,                0.90323,                0.91009,                 0.6309,                 1.0493,                0.75617,                0.97222,               0.001208,               0.001208,               0.001208
                     82,                0.72837,                0.52041,                0.98272,                0.86608,                0.82258,                0.89862,                 0.6141,                 1.1366,                0.79247,                   1.06,              0.0011981,              0.0011981,              0.0011981
                     83,                0.72984,                0.50741,                0.96177,                0.84827,                0.82258,                0.88434,                0.60795,                 0.9999,                0.75575,                0.96937,              0.0011882,              0.0011882,              0.0011882
                     84,                0.73312,                0.51938,                0.96611,                0.83718,                 0.8871,                0.91284,                0.62788,                 1.1139,                0.78982,                0.97856,              0.0011783,              0.0011783,              0.0011783
                     85,                0.68353,                0.49019,                0.95121,                0.79246,                 0.8871,                 0.8952,                0.60194,                 1.0439,                0.78989,                0.96878,              0.0011684,              0.0011684,              0.0011684
                     86,                0.68586,                0.49545,                0.94735,                0.83524,                0.89948,                0.90277,                0.59601,                 1.1051,                0.78924,                 1.0108,              0.0011585,              0.0011585,              0.0011585
                     87,                0.71842,                0.50059,                0.96139,                0.88599,                 0.8871,                0.91737,                0.59676,                  1.059,                0.78501,                0.94831,              0.0011486,              0.0011486,              0.0011486
                     88,                0.68583,                0.49589,                0.95792,                0.88009,                0.82258,                0.89682,                0.58588,                 1.1514,                0.77383,                0.97584,              0.0011387,              0.0011387,              0.0011387
                     89,                0.71905,                0.50356,                0.95874,                0.95932,                0.76083,                0.89204,                0.59801,                 1.0849,                0.80691,                 0.9944,              0.0011288,              0.0011288,              0.0011288
                     90,                0.68571,                0.48461,                 0.9511,                0.77098,                0.86879,                0.86492,                0.55026,                 1.1836,                0.85664,                 1.0389,              0.0011189,              0.0011189,              0.0011189
                     91,                0.70585,                0.49519,                0.95404,                0.85428,                0.85104,                 0.9223,                0.64425,                 1.1082,                0.76623,                 1.0402,               0.001109,               0.001109,               0.001109
                     92,                0.72575,                0.48888,                0.95019,                 0.8671,                0.85484,                0.92993,                0.65601,                 1.0931,                0.76726,                 1.0173,              0.0010991,              0.0010991,              0.0010991
                     93,                 0.7114,                0.50841,                0.95521,                 0.8023,                0.91935,                0.90473,                0.61354,                 1.1482,                0.76601,                 1.0252,              0.0010892,              0.0010892,              0.0010892
                     94,                0.71403,                0.49496,                0.95875,                0.80368,                0.87097,                0.90519,                0.61949,                 1.0779,                0.74392,                0.99402,              0.0010793,              0.0010793,              0.0010793
                     95,                0.65506,                0.47281,                0.91885,                 0.8119,                0.83546,                0.88332,                0.64265,                 1.0134,                0.72974,                0.98625,              0.0010694,              0.0010694,              0.0010694
                     96,                0.69727,                0.48507,                0.94458,                0.87874,                0.79032,                0.87943,                0.60535,                  1.119,                0.81206,                 1.0129,              0.0010595,              0.0010595,              0.0010595
                     97,                0.67438,                0.46613,                0.94523,                0.87484,                0.79032,                0.88057,                 0.6051,                  1.112,                0.78813,                 1.0083,              0.0010496,              0.0010496,              0.0010496
                     98,                0.69532,                0.48853,                0.94716,                0.81434,                0.84903,                0.88793,                0.62733,                 1.0528,                 0.7151,                 0.9981,              0.0010397,              0.0010397,              0.0010397
                     99,                0.68063,                0.46543,                0.95031,                0.89321,                0.80944,                0.91362,                 0.6048,                 1.1588,                0.74602,                  1.008,              0.0010298,              0.0010298,              0.0010298
                    100,                0.69587,                0.46381,                0.94959,                0.91978,                0.83871,                0.91849,                0.63169,                 1.1314,                0.82297,                0.97769,              0.0010199,              0.0010199,              0.0010199
                    101,                0.67162,                0.46549,                0.94282,                0.87744,                 0.8871,                0.91714,                0.62031,                   1.07,                0.79073,                0.96271,                0.00101,                0.00101,                0.00101
                    102,                0.68021,                0.47035,                 0.9544,                0.88016,                0.77419,                0.86776,                0.61003,                 1.1032,                0.81581,                 1.0163,              0.0010001,              0.0010001,              0.0010001
                    103,                0.65193,                0.45648,                0.93335,                0.84542,                0.85484,                 0.8908,                0.60852,                 1.1078,                0.79635,                0.98596,              0.0009902,              0.0009902,              0.0009902
                    104,                0.65139,                0.46104,                0.94808,                0.89882,                0.82258,                0.89495,                0.63404,                 1.1008,                0.75443,                0.94104,              0.0009803,              0.0009803,              0.0009803
                    105,                0.68541,                0.46068,                0.94613,                0.86059,                0.89616,                0.89416,                0.59918,                  1.146,                0.81257,                0.98457,              0.0009704,              0.0009704,              0.0009704
                    106,                0.68874,                0.46105,                0.96352,                0.83617,                 0.8232,                0.89727,                0.59714,                 1.1243,                 0.7757,                 1.0009,              0.0009605,              0.0009605,              0.0009605
                    107,                0.66778,                0.44472,                0.92985,                0.82046,                0.87097,                0.90019,                0.58734,                 1.1836,                0.75759,                0.97034,              0.0009506,              0.0009506,              0.0009506
                    108,                0.66678,                0.45946,                0.94835,                 0.8307,                0.85484,                0.90407,                0.62793,                 1.0628,                0.72019,                0.94331,              0.0009407,              0.0009407,              0.0009407
                    109,                0.66599,                0.44656,                0.94175,                0.89658,                0.85484,                 0.9284,                0.61845,                 1.0489,                0.79203,                 0.9746,              0.0009308,              0.0009308,              0.0009308
